year,citationCount,influentialCitationCount,doi,venue_acronym,area,authors_name,authors_selfCitations,authors_selfCitationsPercent
2010,4,0,10.1109/HIPC.2010.5713197,HiPC,HPC,Mahathir Almashor,1,3.22581
2010,4,0,10.1109/HIPC.2010.5713197,HiPC,HPC,I. Khalil,1,3.22581
2010,15,4,10.1109/HIPC.2010.5713164,HiPC,HPC,S. Bandyopadhyay,1,4.16667
2010,15,4,10.1109/HIPC.2010.5713164,HiPC,HPC,S. Sahni,4,16.6667
2010,23,0,10.1109/HIPC.2010.5713163,HiPC,HPC,L. Bautista-Gomez,1,2.85714
2010,23,0,10.1109/HIPC.2010.5713163,HiPC,HPC,A. Nukada,1,2.85714
2010,23,0,10.1109/HIPC.2010.5713163,HiPC,HPC,N. Maruyama,1,2.85714
2010,23,0,10.1109/HIPC.2010.5713163,HiPC,HPC,F. Cappello,2,5.71429
2010,23,0,10.1109/HIPC.2010.5713163,HiPC,HPC,S. Matsuoka,3,8.57143
2010,5,0,10.1109/HIPC.2010.5713172,HiPC,HPC,Olivier Beaumont,3,13.0435
2010,5,0,10.1109/HIPC.2010.5713172,HiPC,HPC,A. Rosenberg,4,17.3913
2010,60,5,10.1109/HIPC.2010.5713190,HiPC,HPC,A. Bhatele,4,11.1111
2010,60,5,10.1109/HIPC.2010.5713190,HiPC,HPC,G. Gupta,0,0
2010,60,5,10.1109/HIPC.2010.5713190,HiPC,HPC,L. Kalé,4,11.1111
2010,60,5,10.1109/HIPC.2010.5713190,HiPC,HPC,I. Chung,1,2.77778
2010,3,0,10.1109/HIPC.2010.5713185,HiPC,HPC,Dhananjay Brahme,0,0
2010,3,0,10.1109/HIPC.2010.5713185,HiPC,HPC,B. Mishra,0,0
2010,3,0,10.1109/HIPC.2010.5713185,HiPC,HPC,Anup Barve,0,0
2010,49,5,10.1109/HIPC.2010.5713159,HiPC,HPC,Edward Chuah,0,0
2010,49,5,10.1109/HIPC.2010.5713159,HiPC,HPC,S. Kuo,0,0
2010,49,5,10.1109/HIPC.2010.5713159,HiPC,HPC,Paul Hiew,0,0
2010,49,5,10.1109/HIPC.2010.5713159,HiPC,HPC,William-Chandra Tjhi,0,0
2010,49,5,10.1109/HIPC.2010.5713159,HiPC,HPC,G. Lee,0,0
2010,49,5,10.1109/HIPC.2010.5713159,HiPC,HPC,John L. Hammond,0,0
2010,49,5,10.1109/HIPC.2010.5713159,HiPC,HPC,M. Michalewicz,0,0
2010,49,5,10.1109/HIPC.2010.5713159,HiPC,HPC,T. Hung,0,0
2010,49,5,10.1109/HIPC.2010.5713159,HiPC,HPC,J. Browne,0,0
2010,4,0,10.1109/HIPC.2010.5713166,HiPC,HPC,Sourav Kumar Dandapat,0,0
2010,4,0,10.1109/HIPC.2010.5713166,HiPC,HPC,Bivas Mitra,0,0
2010,4,0,10.1109/HIPC.2010.5713166,HiPC,HPC,Niloy Ganguly,0,0
2010,4,0,10.1109/HIPC.2010.5713166,HiPC,HPC,Romit Roy Choudhury,0,0
2010,15,1,10.1109/HIPC.2010.5713177,HiPC,HPC,Isaac Dooley,0,0
2010,15,1,10.1109/HIPC.2010.5713177,HiPC,HPC,Chao Mei,0,0
2010,15,1,10.1109/HIPC.2010.5713177,HiPC,HPC,J. Lifflander,0,0
2010,15,1,10.1109/HIPC.2010.5713177,HiPC,HPC,L. Kalé,2,15.3846
2010,55,2,10.1109/HIPC.2010.5713180,HiPC,HPC,N. Edmonds,1,2.94118
2010,55,2,10.1109/HIPC.2010.5713180,HiPC,HPC,T. Hoefler,0,0
2010,55,2,10.1109/HIPC.2010.5713180,HiPC,HPC,A. Lumsdaine,1,2.94118
2010,1,0,10.1109/HIPC.2010.5713160,HiPC,HPC,R. Garg,0,0
2010,1,0,10.1109/HIPC.2010.5713160,HiPC,HPC,P. Shahabuddin,0,0
2010,1,0,10.1109/HIPC.2010.5713160,HiPC,HPC,Akshat Verma,1,4.16667
2010,15,1,10.1109/HIPC.2010.5713169,HiPC,HPC,Qiang Guan,0,0
2010,15,1,10.1109/HIPC.2010.5713169,HiPC,HPC,Derek Smith,0,0
