year,referenceCount,citationCount,influentialCitationCount,doi,venue_acronym_acronym,authors_name,authors_selfCitations
2010,30,33,2,10.1109/CCGRID.2010.12,CCGRID,Abdul Rahman Abdurrab,0
2010,30,33,2,10.1109/CCGRID.2010.12,CCGRID,T. Xie,0
2010,11,115,6,10.1109/CCGRID.2010.72,CCGRID,Takayuki Banzai,0
2010,11,115,6,10.1109/CCGRID.2010.72,CCGRID,Hitoshi Koizumi,0
2010,11,115,6,10.1109/CCGRID.2010.72,CCGRID,Ryo Kanbayashi,0
2010,11,115,6,10.1109/CCGRID.2010.72,CCGRID,Takayuki Imada,0
2010,11,115,6,10.1109/CCGRID.2010.72,CCGRID,T. Hanawa,0
2010,11,115,6,10.1109/CCGRID.2010.72,CCGRID,M. Sato,0
2010,17,3,0,10.1109/CCGRID.2010.78,CCGRID,J. Barhen,1
2010,17,3,0,10.1109/CCGRID.2010.78,CCGRID,T. Humble,1
2010,17,3,0,10.1109/CCGRID.2010.78,CCGRID,P. Mitra,0
2010,17,3,0,10.1109/CCGRID.2010.78,CCGRID,M. Traweek,1
2010,4,476,37,10.1109/CCGRID.2010.45,CCGRID,A. Beloglazov,0
2010,4,476,37,10.1109/CCGRID.2010.45,CCGRID,R. Buyya,1
2010,18,837,50,10.1109/CCGRID.2010.46,CCGRID,A. Beloglazov,0
2010,18,837,50,10.1109/CCGRID.2010.46,CCGRID,R. Buyya,2
2010,8,3,0,10.1109/CCGRID.2010.65,CCGRID,P. Beran,1
2010,8,3,0,10.1109/CCGRID.2010.65,CCGRID,W. Mach,2
2010,8,3,0,10.1109/CCGRID.2010.65,CCGRID,R. Vigne,0
2010,8,3,0,10.1109/CCGRID.2010.65,CCGRID,Juergen Mangler,0
2010,8,3,0,10.1109/CCGRID.2010.65,CCGRID,E. Schikuta,3
2010,16,38,3,10.1109/CCGRID.2010.73,CCGRID,Yvonne Bernard,0
2010,16,38,3,10.1109/CCGRID.2010.73,CCGRID,Lukas Klejnowski,0
2010,16,38,3,10.1109/CCGRID.2010.73,CCGRID,J. Hähner,0
2010,16,38,3,10.1109/CCGRID.2010.73,CCGRID,C. Müller-Schloer,0
2010,25,3,0,10.1109/CCGRID.2010.122,CCGRID,Rajdeep Bhowmik,1
2010,25,3,0,10.1109/CCGRID.2010.122,CCGRID,M. Govindaraju,2
2010,13,5,0,10.1109/CCGRID.2010.68,CCGRID,Fatiha Bouabache,1
